Iteration,Current evaluation,Best evaluation,Time Used,Current colours used,Best colours used
1,-685,-685,0.21547676715999842,26,26
2,-687,-687,0.2887762701138854,26,26
3,-689,-689,0.3644029509741813,26,26
4,-691,-691,0.4416487580165267,26,26
5,-693,-693,0.5140277610626072,26,26
6,-697,-697,0.5873170201666653,25,25
7,-701,-701,0.7510126961860806,25,25
8,-703,-703,0.8321925071068108,25,25
9,-705,-705,0.9061890251468867,25,25
10,-707,-707,0.9821209381334484,25,25
11,-709,-709,1.059654981130734,25,25
12,-713,-713,1.1410164930857718,25,25
13,-715,-715,1.3086340201552957,25,25
14,-719,-719,1.3947384851053357,25,25
15,-721,-721,1.4709460861049592,24,24
16,-729,-729,1.5508517289999872,24,24
17,-729,-729,1.5779270061757416,24,24
18,-729,-729,1.6045813881792128,24,24
19,-729,-729,1.6315924781374633,24,24
20,-729,-729,1.6567170731723309,24,24
21,-733,-733,1.744661636184901,23,23
22,-733,-733,1.7744273741263896,23,23
23,-737,-737,1.9521576690021902,23,23
24,-739,-739,2.0453478421550244,23,23
25,-741,-741,2.1229452951811254,23,23
26,-741,-741,2.1455434581730515,23,23
27,-741,-741,2.167880814988166,23,23
28,-741,-741,2.189828549977392,23,23
29,-741,-741,2.213486097054556,23,23
30,-741,-741,2.2350537560414523,23,23
31,-741,-741,2.257939604111016,23,23
32,-743,-743,2.3640020340681076,23,23
33,-743,-743,2.3896615041885525,23,23
34,-743,-743,2.4135642889887094,23,23
35,-747,-747,2.5946262541692704,23,23
36,-747,-747,2.6164552429690957,23,23
37,-747,-747,2.6380221131257713,23,23
38,-753,-753,2.7185009710956365,23,23
39,-757,-757,2.7991974900942296,23,23
40,-759,-759,2.875010959105566,23,23
41,-761,-761,2.963209191104397,23,23
42,-761,-761,2.984636007109657,23,23
43,-761,-761,3.007008405169472,23,23
44,-761,-761,3.0323253751266748,23,23
45,-761,-761,3.0616061249747872,23,23
46,-759,-761,3.0908817960880697,24,23
47,-761,-761,3.115035312017426,23,23
48,-759,-761,3.1370483371429145,22,23
49,-761,-761,3.2423189990222454,23,23
50,-761,-761,3.2692819251678884,23,23
51,-761,-761,3.296946691116318,23,23
52,-761,-761,3.323030182160437,23,23
53,-759,-761,3.3455197729635984,23,23
54,-761,-761,3.366736034164205,23,23
55,-761,-761,3.3909921140875667,23,23
56,-759,-761,3.413774225162342,23,23
57,-759,-761,3.436791992979124,23,23
58,-759,-761,3.4650932720396668,23,23
59,-757,-761,3.4903354661073536,23,23
60,-755,-761,3.515234753023833,23,23
61,-753,-761,3.542391091119498,23,23
62,-755,-761,3.5664827080909163,23,23
63,-755,-761,3.589659620076418,23,23
64,-755,-761,3.613193543162197,23,23
65,-755,-761,3.6360189199913293,23,23
66,-755,-761,3.657891295151785,23,23
67,-755,-761,3.680566973052919,23,23
68,-755,-761,3.703827050048858,23,23
69,-755,-761,3.7273456840775907,23,23
70,-757,-761,3.7516787860076874,23,23
71,-759,-761,3.7767601700033993,23,23
72,-761,-761,3.799560737097636,23,23
73,-763,-763,3.884827258065343,23,23
74,-763,-763,3.9079428240656853,23,23
75,-763,-763,3.9319495651870966,23,23
