Iteration,Current evaluation,Best evaluation,Time Used,Current colours used,Best colours used
386,501,-709,0.20501217804849148,35,24
347,171,-709,0.23673007683828473,40,24
367,237,-709,0.27051934599876404,41,24
347,191,-709,0.31000115629285574,39,24
360,259,-709,0.34901739098131657,41,24
354,283,-709,0.3809921112842858,42,24
368,131,-709,0.4187916941009462,42,24
367,211,-709,0.4595016851089895,41,24
363,255,-709,0.4959488152526319,41,24
350,113,-709,0.5287084919400513,36,24
401,219,-709,0.5615192181430757,38,24
379,233,-709,0.5917408391833305,41,24
386,161,-709,0.6260451371781528,40,24
384,129,-709,0.6599385058507323,43,24
398,239,-709,0.7016759351827204,40,24
383,145,-709,0.7335628219880164,42,24
396,125,-709,0.7698706118389964,38,24
401,139,-709,0.8050030819140375,42,24
395,31,-709,0.8374178330413997,42,24
414,27,-709,0.8727369550615549,41,24
418,19,-709,0.9068902600556612,40,24
418,49,-709,0.9467097031883895,41,24
419,91,-709,0.9796193572692573,43,24
428,35,-709,1.0171120422892272,45,24
433,-55,-709,1.0522384629584849,43,24
450,7,-709,1.0903409980237484,48,24
441,-71,-709,1.1275974661111832,45,24
456,-43,-709,1.163902104832232,44,24
460,-79,-709,1.2069139969535172,46,24
452,-57,-709,1.245135264005512,45,24
467,-45,-709,1.2805252582766116,44,24
495,-63,-709,1.3160764570347965,42,24
572,-35,-709,1.3516906979493797,40,24
579,-19,-709,1.3860348421148956,41,24
526,-105,-709,1.4248836799524724,48,24
534,-99,-709,1.4656972540542483,42,24
521,-95,-709,1.502655770163983,43,24
561,-133,-709,1.5397236100398004,41,24
645,-67,-709,1.5837214761413634,45,24
527,-111,-709,1.6235031760297716,46,24
560,-151,-709,1.6610332131385803,46,24
636,-141,-709,1.7085018348880112,44,24
627,-141,-709,1.7477865419350564,43,24
694,-169,-709,1.793669048231095,41,24
707,-163,-709,1.834514353889972,43,24
718,-197,-709,1.8847174388356507,42,24
800,-187,-709,1.9339417601004243,45,24
736,-205,-709,1.9862823709845543,47,24
699,-225,-709,2.0282386071048677,47,24
812,-217,-709,2.0718386732041836,41,24
1039,-273,-709,2.1183462562039495,41,24
997,-269,-709,2.1656580390408635,44,24
889,-297,-709,2.2177996118552983,44,24
1009,-321,-709,2.261989184189588,45,24
1375,-405,-709,2.3101503420621157,39,24
1554,-365,-709,2.367123022209853,41,24
1475,-389,-709,2.419313197955489,38,24
1482,-361,-709,2.4822067678906024,39,24
1612,-439,-709,2.5384583780542016,38,24
1894,-423,-709,2.6015814589336514,39,24
2457,-473,-709,2.6733462642878294,38,24
2522,-499,-709,2.748951748944819,36,24
4193,-583,-709,2.8463518419303,30,24
4010,-549,-709,2.9466697480529547,32,24
6158,-635,-709,3.07610419485718,29,24
9292,-685,-709,3.2512401370331645,25,24
4666,-711,-711,3.3731209160760045,25,25
6005,-717,-717,3.43242506403476,25,25
6076,-719,-719,3.4763543931767344,26,26
9667,-725,-725,3.5792347509413958,25,25
9830,-729,-729,3.61758514912799,24,24
9989,-735,-735,3.7272392362356186,23,23
10179,-745,-745,3.7685700319707394,23,23
10212,-751,-751,3.809000065084547,23,23
10684,-753,-753,3.853337673936039,23,23
12040,-755,-755,3.9107479420490563,23,23
12045,-757,-757,3.9474234650842845,23,23
12213,-759,-759,3.993578765075654,23,23
12228,-761,-761,4.096902116201818,24,24
12365,-765,-765,4.136026963125914,24,24
15602,-767,-767,4.237962272018194,23,23
16258,-769,-769,4.297852999996394,23,23
16362,-775,-775,4.356222057249397,23,23
16638,-779,-779,4.4024174911901355,23,23
17875,-769,-779,4.422769050113857,22,23
9518,-783,-783,4.6411099238321185,22,22
21400,-785,-785,4.876497596036643,23,23
21404,-787,-787,4.984783772844821,24,24
21436,-789,-789,5.019926643930376,23,23
21691,-793,-793,5.064024404156953,22,22
23722,-779,-793,5.095607866998762,24,22
2439,-797,-797,5.170837846118957,23,23
4952,-801,-801,5.252357610035688,23,23
5164,-805,-805,5.2914257808588445,22,22
6040,-809,-809,5.341099615208805,22,22
6055,-811,-811,5.37678511114791,22,22
6237,-817,-817,5.4858325640670955,22,22
6885,-821,-821,5.537024179939181,23,23
7365,-823,-823,5.589215530082583,22,22
30063,-791,-823,5.985693735070527,21,22
11624,-825,-825,6.220671813003719,21,21
11678,-829,-829,6.26517199492082,21,21
12088,-831,-831,6.313136902172118,21,21
12800,-833,-833,6.3634586269035935,21,21
12844,-837,-837,6.401354378089309,21,21
12948,-841,-841,6.505875641014427,20,20
35626,-811,-841,6.895688211079687,23,20
23556,-843,-843,7.325979588087648,20,20
25964,-851,-851,7.3980419132858515,20,20
26323,-853,-853,7.440173633862287,20,20
48000,-839,-853,7.802546294871718,21,20
12724,-855,-855,8.047332482878119,20,20
16744,-857,-857,8.146713837049901,20,20
48000,-835,-857,8.656480547972023,21,20
42139,-859,-859,9.415517203975469,20,20
47666,-861,-861,9.544168651103973,20,20
48000,-859,-861,9.54974267212674,19,20
30493,-865,-865,10.150080658961087,20,20
31012,-871,-871,10.192116138059646,20,20
32520,-873,-873,10.252149591222405,20,20
32866,-877,-877,10.293489777948707,20,20
39526,-883,-883,10.432031062897295,20,20
48000,-879,-883,10.570665793027729,18,20
738,-891,-891,10.617760029155761,19,19
48000,-881,-891,11.378825678024441,19,19
48000,-883,-891,12.255311165936291,19,19
48000,-881,-891,13.199954100884497,20,19
48000,-887,-891,16.27396868309006,19,19
48000,-885,-891,18.01671056309715,19,19
